,sna,tot,sbi,sarea,mday,ar,bemp,act
0,YouBike2.0_捷運科技大樓站,28,1,大安區,2023-05-27 13:26:04,復興南路二段235號前,24,1
1,YouBike2.0_復興南路二段273號前,21,0,大安區,2023-05-27 13:17:22,復興南路二段273號西側,21,1
3,YouBike2.0_和平公園東側,11,2,大安區,2023-05-27 13:24:14,和平東路二段118巷33號,9,1
5,YouBike2.0_復興南路二段280號前,11,2,大安區,2023-05-27 13:26:19,復興南路二段280號,9,1
7,YouBike2.0_新生南路三段52號前,17,1,大安區,2023-05-27 12:59:04,新生南路三段52號,15,1
8,YouBike2.0_新生南路三段66號前,16,2,大安區,2023-05-27 13:25:15,新生南路三段66號東側,14,1
9,YouBike2.0_新生南路三段82號前,20,1,大安區,2023-05-27 13:25:15,新生南路三段82號,18,1
10,YouBike2.0_辛亥路一段30號前,8,2,大安區,2023-05-27 13:11:15,辛亥路一段30號,6,1
13,YouBike2.0_大安運動中心停車場,14,3,大安區,2023-05-27 13:23:15,敦南街76巷28號,11,1
14,YouBike2.0_羅斯福路三段245號前,8,3,大安區,2023-05-27 13:19:14,羅斯福路三段245號,5,1
15,YouBike2.0_溫州公園,5,1,大安區,2023-05-27 13:26:04,羅斯福路三段283巷11號,4,1
17,YouBike2.0_溫州停車場,5,1,大安區,2023-05-27 13:23:15,新生南路三段54巷/溫州街口,4,1
18,YouBike2.0_銘傳國小側門,7,1,大安區,2023-05-27 13:21:17,羅斯福路四段21號旁天橋下,5,1
23,YouBike2.0_公館公園,15,1,大安區,2023-05-27 13:21:17,羅斯福路四段113巷基隆路四段41巷口,14,1
26,YouBike2.0_臺大環研大樓,15,3,大安區,2023-05-27 12:44:13,芳蘭路/基隆路三段155巷口,12,1
29,YouBike2.0_臺大男一舍前,61,2,大安區,2023-05-27 13:23:15,長興街50號西北側,59,1
35,YouBike2.0_臺大社科院圖書館前,27,1,大安區,2023-05-27 13:25:15,辛亥路與復興南路口西南側,26,1
